Reason,Artist,Rollover Amount
< $5,Angstrom,3.294
Credit,Beepunz,-2.78
< $5,Blumoon,3.94
Late,Gobbocks,20.57
< $5,Catboymech,4.5
< $5,Cerberos,3.9
< $5,Crysnickel,3.89
< $5,Dai,1.34
< $5,Haerong,4.8
< $5,Hina,4.94
< $5,Hunibun,3.4
<$5,Kafekafei,1.03
< $5,Kyoharu,3.26
< $5,Kyou,4.2
Credit,Maple Chicken,-8.31
< $5,Mara,1.4
< $5,Morgana,3.52
< $5,Oko,1.75
< $5,Onelittlepiranha,3.06
< $5,Peachyghouls,4.4
< $5,Ransome Rex,2.01
< $5,Shinku,1.75
< $5,Spooky,4.49
< $5,Vellamy,3.456
< $5,CrysNickel,1.584
< $5,Crystalcheese,3.294
< $5,Princematchacakes,4.02
Other,Milkubus,5.06
Other,Stixdraws,17.27
Other,Voraisha,1217.49
