product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Lina Standee,CutiexCoffin (Commercial),Standee,1,18,0,0,18,0,18,9,9
Smol 3D Mousepad,Dormir (Collab) Smol,3D Mousepad,3,91.38,0,0,91.38,0,91.38,27,64.38
Yuyu Low-Poly Sticker,Yume Kuzukawa (Commercial),Sticker,1,5,-5,0,0,0,0,1.5,-1.5
Maple Chicken Tee,zamBee (Collab) Maple Chicken,T-Shirt,4,147.52,-36.88,0,110.64,0,110.64,82.16,28.48
Miabyte Chibi Sticker,Miabyte (Commercial),Sticker,1,5,0,0,5,0,5,1.5,3.5
Pomatomaster Sticker,Veune (Collab) Pomatomaster,Sticker,3,15,0,0,15,0,15,4.5,10.5
Pomatomaster Sticker,Veune (Collab) Pomatomaster,Sticker,2,10,0,0,10,0.3,10.3,3,7
Eat Cheese and Sin Tee,BobberWCC (Original),,2,64,0,0,64,0,64,27.98,36.02
Choji Peeker,Finni (Collab) Choji,Sticker,-1,0,0,-5.5,-5.5,0,-5.5,-1.5,-4
Haerong Charm,Teikki (Collab) Haerong,Acrylic Charm,-1,0,0,-13.96,-13.96,0,-13.96,-4,-9.96
Pomato Mission Tee (Grayscale),Pomatomaster (Commercial),,6,180,0,0,180,0,180,103.14,76.86
Pomato Mission Hat (Orange Vers.),Pomatomaster (Commercial),,4,100,0,0,100,0,100,68.8,31.2
Mei and Meilien Charm,Meimei (Original),Acrylic Charm,5,60.4,0,0,60.4,0,60.4,15,45.4
Mummy 3D Mousepad,Finni (Collab) Missus Mummy,3D Mousepad,1,30,0,0,30,0,30,10,20
Joei Deskmat,Joei (Commercial),Deskmat,2,64,0,0,64,1.92,65.92,37.9,26.1
Kaiyo Photocards,Dormir (Collab) Kaiyo,Photocard,1,10,0,0,10,0,10,1.5,8.5
Maple Chicken Body Pillow,Beanni (Collab) Maple Chicken,dakimakura cover,3,209.97,0,0,209.97,0,209.97,60,149.97
Rhea Bunny Standee,Kekkitoz (Collab) Rhea,Standee,1,18,0,0,18,0,18,8.5,9.5
Rhea Bunny Standee,Kekkitoz (Collab) Rhea,Standee,1,18,0,0,18,0,18,8.5,9.5
Pomato Mission Tee (Orange),Pomatomaster (Commercial),,2,60.96,0,0,60.96,0,60.96,32.38,28.58
