Reason,Artist,Rollover Amount
< $5,Beepunz,4.834
< $5,Catboymech,4.5
< $5,Cerberos,3.9
Credit,Choji,-4.984
< $5,Cutiexcoffin,4.23
< $5,Dai,1.34
Credit,Haerong,-6.544
< $5,Hina,4.94
< $5,Kafekafei,1.03
Credit,Kaiyo,-4.632
< $5,Kyoharu,3.26
< $5,Kyou,4.2
< $5,Mara,1.4
< $5,Miabyte,3.35
< $5,Morgana,3.52
< $5,Nasu,3.584
< $5,Near,3.056
< $5,Oko,1.75
< $5,Peachyghouls,4.4
< $5,Ransome Rex,2.01
< $5,Savehymn,3.384
< $5,Spooky,4.49
< $5,Teikki,0.056
< $5,Valentine,3.08
< $5,Vellamy,3.46
Credit,Yume kuzukawa,-0.75
< $5,Babypink,4.56
< $5,Fumetsu No Tora,2.01
< $5,Gaikiken,3.42
< $5,Joekie3wl,4.284
