product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Pomatomaster Sticker Sheet,Monoyoki (Collab) Pomatomaster,Sticker,3,27.27,-2.32,0,24.95,0,24.95,4.5,20.45
Kuro Standee,Diury (Collab) Corvus Kuro,Standee,1,18,-4.5,0,13.5,0,13.5,4.5,9
Pride Moomers,A4LoveLetter (Original),Sticker,3,90,0,0,90,0,90,31.5,58.5
Valentine Seeing Double Print,Brocollie (Collab) Valentine,Print,3,45,0,0,45,0,45,10.5,34.5
Bloody Valentine Standee,Kekki (Collab) Valentine,Standee,7,140,0,0,140,0,140,56,84
Valentine Charm,Finni (Collab) Valentine,Acrylic Charm,2,24,0,0,24,0,24,6,18
Fruity Yukata Print,Berry (Commercial),,2,25.22,0,0,25.22,0,25.22,5,20.22
*OFFKAI OVERSTOCK!* Limited Signed Collab Posters!,Yorunomachi,Print,1,18,0,0,18,0,18,4,14
Yuyu Low-Poly Charm,Yume Kuzukawa (Commercial),Acrylic Charm,1,12,0,0,12,0,12,3.5,8.5
Kaiyo Photocards,Dormir (Collab) Kaiyo,Photocard,2,20.49,0,0,20.49,0,20.49,3,17.49
Kirana Charm,Vella (Collab),Acrylic Charm,1,12,0,0,12,0,12,3,9
OLP Sticker Sheet,Nitty (Collab) OneLittlePiranha,,1,12,0,0,12,0,12,0,0
Valentine Wall Scroll,Xenvita (Collab) Valentine,Wall Scroll,1,20,0,0,20,0,20,6.5,13.5
Yuchi 3D Mousepad,Yuchi (Commercial),,1,30,0,0,30,0,30,7,23
Synical Circle Charm,NahokoVeta (Collab) Synical,Acrylic Charm,-1,0,0,-12,-12,0,-12,-3,-9
Valentine Lasso Tee,Meimei (collab) Valentine,,6,192,0,0,192,0,192,118.64,73.36
Valentine Lasso Sticker,Meimei (collab) Valentine,Sticker,8,40,0,0,40,0,40,8,32
Mei and Meilien Charm,Meimei (Original),Acrylic Charm,1,12,0,0,12,0,12,3,9
Lulu Tee (Black),Bermuda (Collab) Lucien,,1,32,0,0,32,0,32,18.48,13.52
Queen of Hearts Sticker,Finni (Collab) Valentine,,2,10,0,0,10,0,10,1,9
Summer Kaiyo Photocards,Kaiyo (Commercial),Photocard,3,20.33,0,0,20.33,0,20.33,3,17.33
Pandawa Keychain,Elena (Collab) Pandawa,Acrylic Charm,1,12.59,0,0,12.59,0,12.59,1,11.59
