Reason,Artist,Rollover Amount
< $5,Angelina kumalo,2.05
Credit,Beanni,-19.16
Credit,Beepunz,-2.78
Credit,Bluuey,-7.88
< $5,Botfishe,4.64
< $5,Cerberos,3.9
< $5,Dai,1.34
< $5,Diury,3.44
Credit,Elena,-1.12
< $5,Freya,4.36
Credit,Gaikiken,-0.59
< $5,Hina,4.94
Credit,Kafekafei,-5.34
< $5,Kota,3.01
< $5,Kyoharu,3.26
Credit,Maple Chicken,-8.31
< $5,Mara,1.4
< $5,Milkcubus,3.66
< $5,Mofuuwafuwa,4.02
< $5,Morgana,3.52
< $5,Onelittlepiranha,3.06
< $5,Peachyghouls,4.4
Credit,Poors,-1.92
Credit,Skullgeist,-9.7
< $5,Spooky,4.49
< $5,Yuchi,4.32
< $5,Ancestral Potato,2.87
< $5,Angstrom,2.01
< $5,CrysNickel,2.31
< $5,Ransome rex,2.01
Report,Sakananotenshi,14.25
Other,Xenvita,5.27
Report,Pomme,1.13
Report,CassieVT,1.13
Report,Teikki,3.66
Report,Gaz,3.6
Report,Vetarix,51.3
Report,Joekie3wl,12.06
Report,Velvet Bambi,57.91
Report,VeryBatty,17.1
Report,YummyGoods,172.51
Report,Softon,8.55
Report,Bermuda,1.69
Offkai,Beanni,68.8
Offkai,Bermuda,7.2
Offkai,Dormir,25
Offkai,Elena,13.8
Offkai,Fapolantern,33.6
Offkai,Finni,61.8
Offkai,Kekki,3.4
Offkai,Milkcubus,1.4
Offkai,Monoyoki,4.8
Offkai,Moxie,7
Offkai,Near,6.8
Offkai,Pomme,6.8
Offkai,Rozen,151.8
Offkai,Suikaart,5.6
Offkai,Teikki,23.2
Offkai,Veune,8.6
Offkai,Vortex,15.2
Offkai,ZamBee,22
Offkai,zsen,7
Offkai,Alphena,10.6
Offkai,Angelina Kumalo,41.85
Offkai,bbpink,34.3
Offkai,Berry Gelatina,3.4
Offkai,Cassie,13.8
Offkai,Catboymech,4.5
Offkai,Freya Amari,8.6
Offkai,Gaz Acantha,15.1
Offkai,Haerong,4.8
Offkai,HuniBun,3.4
Offkai,Hunikin,54.4
Offkai,Kaiyo,17.2
Offkai,Kota,15.2
Offkai,Kozi,50.75
Offkai,Kyou,4.2
Offkai,Lucien,26.45
Offkai,MissusMummy,9.05
Offkai,Nohr,23
Offkai,Ophelia Valentine,7
Offkai,PapaMutt,10.5
Offkai,PinBun,14.2
Offkai,Podge,57.5
Offkai,Roxy Manticore,27.6
Offkai,Saa,214.6
Offkai,SmolandStronk,6.8
Offkai,Snoozychu,21.2
Offkai,Voraisha,19.6
Offkai,Yuchi,54
Offkai,Yuyu,7.25
Offkai,Zion,7
Offkai,Beanni,14.75
Offkai,BluueyGooey,7
Offkai,Bobber,52.5
Offkai,BWS,12
Offkai,Diury,6.75
Offkai,Jujunaught,61.75
Offkai,Kapp,13.75
Offkai,Kekki,21.75
Offkai,Klebo,6
Offkai,Lina,21
Offkai,Mei,5.25
Offkai,Oko,1.75
Offkai,Pomme,6
Offkai,Poors,36.75
Offkai,Shiiva,6
Offkai,Shinku,1.75
Offkai,Strongmoist,36.25
Offkai,SuperSpoe,7.25
Offkai,Teikki,25.25
