Origin,product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
YNE,Big n' Soft Brie Standee,Vetarix,,Standee,1,25.000,0.000,0.000,25.000,0.000,25.000,0.75,0.0,24.25
YNE,Jerma Charm,,,,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,0.0,11.64
YNE,Nitro Chiral Boys- Kitten Caboodle Charms,Ransome Rex,,Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,0.0,11.64
YNE,Emily Sequence WG Print,WaifuDekai,,print,0,21.150,0.000,-21.150,0.000,0.000,0.000,0.0,0.0,0.0
YNE,Beach Buns Print,Better With Salt,Original,Print,0,15.000,0.000,-13.500,1.500,0.000,1.500,0.04,0.0,1.46
YNE,Lifelinelemons Candy Girls 3' Charms,Lifelinelemons,,Charm,6,72.000,-9.000,0.000,63.000,0.000,63.000,1.89,0.0,61.11
YNE,Faeona's Break [PRE-ORDER],YummyGoods,,Standee,1,25.930,-1.300,0.000,24.630,0.000,24.630,0.74,0.0,23.89
YNE,Persephone's Special Menu,YummyGoods,,Charm,4,60.000,-15.000,0.000,45.000,0.000,45.000,1.35,0.0,43.65
YNE,Lucy's Lingere,Vetarix,,Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,0.0,11.64
YNE,Fantasizing WG Print,WaifuDekai,Original,print,0,21.150,0.000,-21.150,0.000,0.000,0.000,0.0,0.0,0.0
YNE,Faeona's Break Standee [PRE-ORDER],YummyGoods,,Standee,13,325.770,0.000,0.000,325.770,1.500,327.270,9.82,0.0,317.45
YNE,Liz Standee,Skullgeist,,Standee,3,75.780,0.000,0.000,75.780,0.000,75.780,2.27,0.0,73.51
YNE,Kerfus Bikini 4' Sticker,WaifuDekai,,Sticker,0,6.640,0.000,-6.640,0.000,0.000,0.000,0.0,0.0,0.0
YNE,Miss Maki Standee,Softon,,Standee,22,552.480,-6.250,0.000,546.230,1.500,547.730,16.43,0.0,531.3000000000001
YNE,Jolly Emily Standee,SakanaNoTenshi,,Standee,1,25.000,0.000,0.000,25.000,0.000,25.000,0.75,0.0,24.25
YNE,Stellar Cafe Sticker,Skullgeist,,Sticker,1,7.000,0.000,0.000,7.000,0.000,7.000,0.21,0.0,6.79
YNE,Gettin' Ready Brie Standee,Vetarix,,Standee,3,75.000,0.000,0.000,75.000,0.000,75.000,2.25,0.0,72.75
YNE,Io Oppai 3D Mousepad,ancestralpotato,,3D Mousepad,6,210.000,0.000,0.000,210.000,0.000,210.000,6.3,0.0,203.7
YNE,Stuck Standee,Velvet Bambi,,Standee,6,150.440,0.000,0.000,150.440,0.000,150.440,4.51,0.0,145.93
YNE,Kerfus Standees,WaifuDekai,,Standee,6,210.000,0.000,0.000,210.000,2.700,212.700,6.38,0.0,206.32
YNE,Uya Dairy Free Sticker,Klebo,Original,Sticker,1,8.000,0.000,0.000,8.000,0.000,8.000,0.24,0.0,7.76
YNE,Iconic Plant Girl (Standee),Skullgeist,,Standee,6,150.780,-5.000,0.000,145.780,0.000,145.780,4.37,0.0,141.41
YNE,[ PRE-ORDER ]Panty and Stocking Hyper Standees,TheHelmetGuy,,Standee,3,135.000,0.000,0.000,135.000,0.000,135.000,4.05,0.0,130.95
YNE,Letta Haste Pinup Sticker,CriKai,Original,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,0.0,4.85
YNE,"Kerfus 3"" Sticker",WaifuDekai,,Sticker,0,5.520,0.000,-5.520,0.000,0.000,0.000,0.0,0.0,0.0
YNE,Dinner Date Standee,VeryBatty,,Standee,7,175.000,0.000,0.000,175.000,1.500,176.500,5.29,0.0,171.21
YNE,Stellar Cafe Charm,Skullgeist,,Charm,1,15.000,0.000,0.000,15.000,0.000,15.000,0.45,0.0,14.55
