product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
If you can read this... Tank Top,Safershawnk (Original),tanktop,1,27,0,0,27,0,27,15.95,11.05
Blimp Miri Sticker,Nyanilla (Original),Sticker,1,4.02,0,0,4.02,0,4.02,1,3.02
Summer Olive Print,Mistko (Original),Print,1,18,0,0,18,0,18,3,15
Evergreen Print,Lewdwok (Original),Print,1,25,0,0,25,0,25,5,20
Berry Wank Hank,Fapolantern (Collab) Berry,Home Decor,1,15,0,0,15,0.9,15.9,7.09,7.91
Gaz Charm,AncestralPotato (Collab) Gaz,Charm,3,45,0,0,45,0,45,12,33
A Cinnamon Roll A Day Sticker Pack,SweetDreamCoffee (Original),Sticker,10,188.82,0,0,188.82,0,188.82,25,163.82
Touch Me Sticker,Veune (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Booming Body Print,Lewdwok (Original),Print,1,25,0,0,25,0,25,5,20
Fapolantern OC Stickers,Fapolantern (Original),Sticker,4,35,0,0,35,0,35,12,23
Frieren Sticker 3.5'',matemi (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Podge Lingerie Standee,Radavaris (Collab) Podge,Standee,1,20,0,0,20,0,20,9,11
Beach Episode Print,SweetDreamCoffee (Original),Print,1,18,0,0,18,0,18,2.5,15.5
Gaz Acantha 3D Mousepad,Radavaris (Collab) Gaz,3D Mousepad,1,35,0,0,35,0,35,15,20
Eleanor Standee,Mintrimo (Original),Standee,13,326.1,0,0,326.1,1.5,327.6,0,0
Eleanor Standee,Mintrimo (Original),Standee,9,225,0,0,225,0,225,0,0
Something To Drool Over Print,Better With Salt (Original),Print,6,99,-3.3,0,95.7,0.99,96.69,15,80.7
Butt Lovers Sticker 4'',WaifuDekai (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Stuck Standee,Velvet Bambi (Original),Standee,1,25,0,0,25,0,25,10,15
Stuck Standee,Velvet Bambi (Original),Standee,4,101.99,0,0,101.99,0,101.99,0,0
Summertime Shortstack,SuperSpoe (Original),Print,1,15,0,0,15,0,15,2.5,12.5
BAE-B Photoshoot Print,StixDraws (Original),print,1,18.72,0,0,18.72,0,18.72,3.5,15.22
Fullgirls- Futakuchi Sticker Set,Plumpcognito (Original),Sticker,2,10,0,0,10,0,10,3,7
Volume Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,5,20
Eleanor the Southern Belle,Vetarix (Original),Standee,1,25,0,0,25,0,25,0,0
Hot Mess Miri Sticker,Nyanilla (Original),Sticker,2,14,0,0,14,0,14,3,11
BULK Print,Better With Salt (Original),Print,1,15.43,0,0,15.43,0,15.43,0,0
BULK Print,Better With Salt (Original),Print,6,90.24,0,0,90.24,0.9,91.14,0,0
Hallow-yeet Sticker Set,TheJieb (Original),Sticker,2,24,-3,0,21,0,21,6,15
Lifelinelemons Candy Girls 3'' Charms,Lifelinelemons (Original),Charm,4,51.15,0,0,51.15,0,51.15,12,39.15
Summer Heat Sticker,MTS (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Summer Heat Sticker,MTS (Original),Sticker,1,5.36,0,0,5.36,0,5.36,1.5,3.86
Poors Sticker Pack 2,Poors (Original),Sticker Sheet,1,12,0,0,12,0,12,4.5,7.5
A Lot to Handle Print,Mistko (Original),Print,1,25,0,0,25,0,25,2.5,22.5
Stay Out Of The Forest Print,Vetarix (Original),Print,3,60,0,0,60,0,60,10.5,49.5
Stay Out Of The Forest Print,Vetarix (Original),Print,1,21.08,0,0,21.08,0,21.08,3.5,17.58
Vampire Christi Halloween Pinup Sticker,CriKai (Original),Sticker,2,14.39,0,0,14.39,0,14.39,5,9.39
Bell Bunny Print,JujuNaught (Original),Print,1,25,0,0,25,0,25,5,20
Pearl Napping Sticker,Joekie3wl (Original),Sticker,1,7,0,0,7,0,7,3,4
Kerfus Bikini 4'' Sticker,WaifuDekai (Original),Sticker,1,5.5,0,0,5.5,0,5.5,1.7,3.8
Candy Balloon Linda,Lifelinelemons (Original),Sticker,1,7,0,0,7,0,7,3,4
YeetBun Sticker Sheet,TheJieb (Original),Sticker Sheet,1,9,-1.35,0,7.65,0,7.65,2.5,5.15
YeetBun Sticker Sheet,WaifuDekai (Original),Sticker Sheet,1,9,0,0,9,0,9,2.5,6.5
Summer Wrightworth Charm,Rira (Original),Charm,1,15.68,0,0,15.68,0,15.68,4,11.68
Beach Buns Print,Better With Salt (Original),Print,1,15,0,0,15,0,15,2.5,12.5
Retro Rat Sticker,Rattie (Original),Sticker,1,5.22,0,0,5.22,0,5.22,1.5,3.72
Io Bath Print,ancestralpotato (Original),Print,1,25,0,0,25,0,25,5,20
2B Step Sticker,BambooAle (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
2B Step Sticker,BambooAle (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Momoko Swimsuit Sticker,Crystalcheese (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Kitty Fed Chicken Print,SweetDreamCoffee (Original),Poster,1,15,0,0,15,0,15,2.5,12.5
Trick or Treat Sticker,Veune (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Alex Gina Sticker,SweetDreamCoffee (Original),Sticker,1,5,0,0,5,0,5,1.5,3.5
Alex Gina Sticker,SweetDreamCoffee (Original),Sticker,2,10.36,0,0,10.36,0,10.36,3,7.36
Io Egg Sticker 2.5'',ancestralpotato (Original),Sticker,1,3.5,0,0,3.5,0,3.5,1,2.5
