product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
If you can read this... Tank Top,Safershawnk (Original),Original,tanktop,1,27,0,0,27,0,27,0.81,15.95,10.240000000000002
Blimp Miri Sticker,Nyanilla (Original),Original,Sticker,1,4.02,0,0,4.02,0,4.02,0.12,1.0,2.8999999999999995
Summer Olive Print,Mistko (Original),Original,Print,1,18,0,0,18,0,18,0.54,3.0,14.46
Evergreen Print,Lewdwok (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Berry Wank Hank,Fapolantern (Collab) Berry,Collab,Home Decor,1,15,0,0,15,0.9,15.9,0.48,7.09,8.33
Gaz Charm,AncestralPotato (Collab) Gaz,Collab,Charm,3,45,0,0,45,0,45,1.35,12.0,31.65
A Cinnamon Roll A Day Sticker Pack,SweetDreamCoffee (Original),Original,Sticker,10,188.82,0,0,188.82,0,188.82,5.66,25.0,158.16
Touch Me Sticker,Veune (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Booming Body Print,Lewdwok (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Fapolantern OC Stickers,Fapolantern (Original),Original,Sticker,4,35,0,0,35,0,35,1.05,12.0,21.950000000000003
Frieren Sticker 3.5,matemi (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Podge Lingerie Standee,Radavaris (Collab) Podge,Collab,Standee,1,20,0,0,20,0,20,0.6,9.0,10.399999999999999
Beach Episode Print,SweetDreamCoffee (Original),Original,Print,1,18,0,0,18,0,18,0.54,2.5,14.96
Gaz Acantha 3D Mousepad,Radavaris (Collab) Gaz,Collab,3D Mousepad,1,35,0,0,35,0,35,1.05,15.0,18.950000000000003
Eleanor Standee,Mintrimo (Original),Original,Standee,13,326.1,0,0,326.1,1.5,327.6,9.83,0.0,317.77000000000004
Eleanor Standee,Mintrimo (Original),Original,Standee,9,225,0,0,225,0,225,6.75,0.0,218.25
Something To Drool Over Print,Better With Salt (Original),Original,Print,6,99,-3.3,0,95.7,0.99,96.69,2.9,15.0,78.78999999999999
Butt Lovers Sticker 4,WaifuDekai (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Stuck Standee,Velvet Bambi (Original),Original,Standee,1,25,0,0,25,0,25,0.75,10.0,14.25
Stuck Standee,Velvet Bambi (Original),Original,Standee,4,101.99,0,0,101.99,0,101.99,3.06,0.0,98.92999999999999
Summertime Shortstack,SuperSpoe (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
BAE-B Photoshoot Print,StixDraws (Original),Original,print,1,18.72,0,0,18.72,0,18.72,0.56,3.5,14.66
Fullgirls- Futakuchi Sticker Set,Plumpcognito (Original),Original,Sticker,2,10,0,0,10,0,10,0.3,3.0,6.699999999999999
Volume Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Eleanor the Southern Belle,Vetarix (Original),Original,Standee,1,25,0,0,25,0,25,0.75,0.0,24.25
Hot Mess Miri Sticker,Nyanilla (Original),Original,Sticker,2,14,0,0,14,0,14,0.42,3.0,10.58
BULK Print,Better With Salt (Original),Original,Print,1,15.43,0,0,15.43,0,15.43,0.46,0.0,14.969999999999999
BULK Print,Better With Salt (Original),Original,Print,6,90.24,0,0,90.24,0.9,91.14,2.73,0.0,88.41
Hallow-yeet Sticker Set,TheJieb (Original),Original,Sticker,2,24,-3,0,21,0,21,0.63,6.0,14.370000000000001
Lifelinelemons Candy Girls 3' Charms,Lifelinelemons (Original),Original,Charm,4,51.15,0,0,51.15,0,51.15,1.53,12.0,37.62
Summer Heat Sticker,MTS (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Summer Heat Sticker,MTS (Original),Original,Sticker,1,5.36,0,0,5.36,0,5.36,0.16,1.5,3.7
Poors Sticker Pack 2,Poors (Original),Original,Sticker Sheet,1,12,0,0,12,0,12,0.36,4.5,7.140000000000001
A Lot to Handle Print,Mistko (Original),Original,Print,1,25,0,0,25,0,25,0.75,2.5,21.75
Stay Out Of The Forest Print,Vetarix (Original),Original,Print,3,60,0,0,60,0,60,1.8,10.5,47.7
Stay Out Of The Forest Print,Vetarix (Original),Original,Print,1,21.08,0,0,21.08,0,21.08,0.63,3.5,16.95
Vampire Christi Halloween Pinup Sticker,CriKai (Original),Original,Sticker,2,14.39,0,0,14.39,0,14.39,0.43,5.0,8.96
Bell Bunny Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Pearl Napping Sticker,Joekie3wl (Original),Original,Sticker,1,7,0,0,7,0,7,0.21,3.0,3.79
Kerfus Bikini 4' Sticker,WaifuDekai (Original),Original,Sticker,1,5.5,0,0,5.5,0,5.5,0.16,1.7,3.6399999999999997
Candy Balloon Linda,Lifelinelemons (Original),Original,Sticker,1,7,0,0,7,0,7,0.21,3.0,3.79
YeetBun Sticker Sheet,TheJieb (Original),Original,Sticker Sheet,1,9,-1.35,0,7.65,0,7.65,0.23,2.5,4.92
YeetBun Sticker Sheet,WaifuDekai (Original),Original,Sticker Sheet,1,9,0,0,9,0,9,0.27,2.5,6.23
Summer Wrightworth Charm,Rira (Original),Original,Charm,1,15.68,0,0,15.68,0,15.68,0.47,4.0,11.209999999999999
Beach Buns Print,Better With Salt (Original),Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Retro Rat Sticker,Rattie (Original),Original,Sticker,1,5.22,0,0,5.22,0,5.22,0.16,1.5,3.5599999999999996
Io Bath Print,ancestralpotato (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
2B Step Sticker,BambooAle (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
2B Step Sticker,BambooAle (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Momoko Swimsuit Sticker,Crystalcheese (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Kitty Fed Chicken Print,SweetDreamCoffee (Original),Original,Poster,1,15,0,0,15,0,15,0.45,2.5,12.05
Trick or Treat Sticker,Veune (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Alex Gina Sticker,SweetDreamCoffee (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Alex Gina Sticker,SweetDreamCoffee (Original),Original,Sticker,2,10.36,0,0,10.36,0,10.36,0.31,3.0,7.049999999999999
Io Egg Sticker 2.5,ancestralpotato (Original),Original,Sticker,1,3.5,0,0,3.5,0,3.5,0.1,1.0,2.4
Io Egg Sticker 2.5,ancestralpotato (Original),Original,Sticker,2,7,0,0,7,0,7,0.21,2.0,4.79
Yeetbun Print 12x12,TheJieb (Original),Original,Print,1,15,0,0,15,0,15,0.45,3.0,11.55
Boop Suit Sticker,Veune (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
Wendie’s Print,JujuNaught (Original),Original,Print,1,25,0,0,25,0,25,0.75,5.0,19.25
Voraisha Deskmat,KafeKafei (Collab) Voraisha,Collab,Deskmat,2,73.14,0,0,73.14,0,73.14,2.19,37.9,33.050000000000004
Tummy Ache Survivor,PrinceMatchaCakes (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.3499999999999996
