product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Butt Lovers Sticker 4'',WaifuDekai,Sticker,4,25.520,-1.250,-5.520,18.750,0.000,18.750,6.000,12.750
Mizuki Print,JujuNaught,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
Drink Kappa Kola Advertisement,KappAllNight,Print,2,30.560,-0.780,0.000,29.780,0.000,29.780,5.000,24.780
Universal Emily Sticker,SakanaNoTenshi,Standee,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Laura Eat Up Sticker,Joekie3wl,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Berry Blossoms Deskmat,Beanni,,1,45.000,0.000,0.000,45.000,0.000,45.000,18.950,26.050
Airing out the Gals,SuperSpoe,Print,1,18.520,-0.930,0.000,17.590,0.000,17.590,3.000,14.590
Booba Tea Sticker,Gobbocks,Sticker,12,60.000,-3.000,0.000,57.000,0.000,57.000,21.000,36.000
Big n' Soft Brie Standee,Vetarix,Standee,1,25.000,0.000,0.000,25.000,0.000,25.000,0.000,0.000
Corpulent Corporate Leadership Print,SweetDreamCoffee,Print,2,30.560,-0.780,0.000,29.780,0.000,29.780,5.000,24.780
Jerma Charm,,,1,12.000,0.000,0.000,12.000,0.000,12.000,0.000,0.000
Fullgirls- Futakuchi Sticker Set,Plumpcognito,Sticker,9,120.000,-12.500,0.000,107.500,0.000,107.500,43.500,64.000
Frieren Sticker 3.5'',matemi,Sticker,4,20.340,-2.500,0.000,17.840,0.000,17.840,6.000,11.840
Wide Load Bumper Stickers,KappAllNight,Bumper Sticker,4,60.000,0.000,0.000,60.000,0.000,60.000,16.000,44.000
Beach Bod (feat. Ms. Cheese),Takamoom,,2,41.170,0.000,0.000,41.170,0.000,41.170,6.000,35.170
JuJu Standee Collection,JujuNaught,Standee,2,50.000,0.000,0.000,50.000,0.000,50.000,22.000,28.000
Cow Cloe Sticker,CrysNickel,Sticker,1,5.000,-1.250,0.000,3.750,0.000,3.750,1.000,2.750
Let's Go Swimming!,Takamoom,Poster,1,20.000,0.000,0.000,20.000,0.000,20.000,3.000,17.000
Sunset Fat Genie,TDookus,Print,2,30.560,-0.780,0.000,29.780,0.000,29.780,5.000,24.780
Yeet Classic Sticker Sheet,TheJieb,Sticker Sheet,4,36.000,0.000,0.000,36.000,0.000,36.000,10.000,26.000
Alex Gina Sticker,SweetDreamCoffee,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Playboy Nicole 8x10 Print,Vetarix,Print,2,30.000,0.000,0.000,30.000,0.000,30.000,5.000,25.000
Nat and Halie Stylized Print,Better With Salt,Print,3,48.000,0.000,0.000,48.000,0.000,48.000,8.500,39.500
Cowlach Sticker,Bluuey,Sticker,2,10.000,-1.250,0.000,8.750,0.000,8.750,3.000,5.750
Yeet Summer Sticker Sheets,TheJieb,Sticker Sheet,3,46.060,0.000,0.000,46.060,0.000,46.060,13.500,32.560
Doughy Pizza Girl Print,SweetDreamCoffee,Poster,-1,0.000,0.000,-15.000,-15.000,0.000,-15.000,-2.500,-12.500
Bermuda Muda Bellypad,Bermuda_Muda,Belly Mousepad,28,1403.590,-2.540,0.000,1401.050,0.000,1401.050,560.000,841.050
Witch Poste Halloween Pinup Sticker,CriKai,Sticker,2,12.000,0.000,0.000,12.000,0.000,12.000,4.000,8.000
Poors Sticker Pack 1,Poors.,Sticker Sheet,4,34.000,-3.000,0.000,31.000,0.000,31.000,12.000,19.000
Nitro Chiral Boys- Kitten Caboodle Charms,Ransome Rex,Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.000,0.000
Voraisha Late Night Print,TheHelmetGuy,Print,1,31.000,0.000,0.000,31.000,0.000,31.000,10.000,21.000
Witch Poste Halloween 2024 Print,CriKai,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
PRE-ORDER Barbatos Dakimakura,matemi,Daki Cover,62,4355.710,-17.470,0.000,4338.240,8.380,4346.620,1240.000,3098.240
Emily Sequence WG Print,WaifuDekai,print,0,21.150,0.000,-21.150,0.000,0.000,0.000,0.000,0.000
Moomochi Standee,Fapolantern,Standee,9,163.450,-0.930,0.000,162.520,1.080,163.600,81.000,81.520
Beach Buns Print,Better With Salt,Print,0,15.000,0.000,-13.500,1.500,0.000,1.500,0.000,1.500
Lifelinelemons Candy Girls 3'' Charms,Lifelinelemons,Charm,6,72.000,-9.000,0.000,63.000,0.000,63.000,0.000,0.000
Faeona's Break [PRE-ORDER],YummyGoods,Standee,1,25.930,-1.300,0.000,24.630,0.000,24.630,0.000,0.000
Farm Fresh Pint Glass,KappAllNight,Glassware,3,66.000,0.000,0.000,66.000,0.000,66.000,40.500,25.500
Funky Beach Print,YoruNoEcchi,,1,15.000,0.000,0.000,15.000,0.000,15.000,2.500,12.500
Jowls Print,Better With Salt,Print,1,15.000,0.000,0.000,15.000,0.000,15.000,2.500,12.500
Persephone's Special Menu,YummyGoods,Charm,4,60.000,-15.000,0.000,45.000,0.000,45.000,0.000,0.000
Kaine Sticker,BambooAle,Sticker,6,35.000,-5.000,-5.000,25.000,0.000,25.000,9.000,16.000
Lucy's Lingere,Vetarix,Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.000,0.000
Io Bath Print,ancestralpotato,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
Ask4My Sticker,Gaikiken,,1,3.500,0.000,0.000,3.500,0.000,3.500,1.000,2.500
Vampire Christi PlayBee Halloween 2024 Print,CriKai,Print,1,25.000,0.000,0.000,25.000,0.000,25.000,5.000,20.000
Gaz Acantha Standee,Suika's Sweets,Standee,1,20.000,0.000,0.000,20.000,0.000,20.000,9.000,11.000
Pudgy Purin Sticker [PURINTOBER CHARITY],Beanni,Sticker,3,17.000,0.000,0.000,17.000,0.000,17.000,5.500,11.500
Candy Balloon Linda,Lifelinelemons,Sticker,2,14.860,-2.230,0.000,12.630,0.000,12.630,6.000,6.630
Berry Wank Hank,Fapolantern,Home Decor,2,30.000,0.000,0.000,30.000,0.900,30.900,14.180,15.820
Fantasizing WG Print,WaifuDekai,print,0,21.150,0.000,-21.150,0.000,0.000,0.000,0.000,0.000
Lyney Sticker 3.5'',matemi,Sticker,7,36.190,0.000,0.000,36.190,0.000,36.190,10.500,25.690
Io Egg Sticker 2.5'',ancestralpotato,Sticker,1,3.500,0.000,0.000,3.500,0.000,3.500,1.000,2.500
Farm Fresh Tee,KappAllNight,T-Shirt,1,32.000,0.000,0.000,32.000,0.000,32.000,25.940,6.060
Faeona's Break Standee [PRE-ORDER],YummyGoods,Standee,13,325.770,0.000,0.000,325.770,1.500,327.270,0.000,0.000
Miffu Bust Sticker,JujuNaught,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Liz Standee,Skullgeist,Standee,3,75.780,0.000,0.000,75.780,0.000,75.780,0.000,0.000
Kerfus Bikini 4'' Sticker,WaifuDekai,Sticker,0,6.640,0.000,-6.640,0.000,0.000,0.000,0.000,0.000
Stellar Cafe Print,Skullgeist,Print,1,20.000,0.000,0.000,20.000,0.000,20.000,3.500,16.500
Kerfus (2) 4'' Sticker,WaifuDekai,Sticker,2,11.000,-2.740,0.000,8.260,0.000,8.260,3.400,4.860
Baby/Lady Pink 3-D Mousepads,BabyPink (Commercial),3D Mousepad,1,35.000,0.000,0.000,35.000,0.000,35.000,15.000,20.000
Miss Maki Standee,Softon,Standee,22,552.480,-6.250,0.000,546.230,1.500,547.730,0.000,0.000
Pumpkin Letta Halloween Pinup Sticker,CriKai,Sticker,2,12.000,0.000,0.000,12.000,0.000,12.000,4.000,8.000
Jolly Emily Standee,SakanaNoTenshi,Standee,1,25.000,0.000,0.000,25.000,0.000,25.000,0.000,0.000
Fat Girl Fall Purin 11x17 Print [PURINTOBER CHARITY],WaifuDekai,Print,2,41.170,0.000,0.000,41.170,0.000,41.170,7.000,34.170
BabyPink Pinup Sticker,SwoleFin,Sticker,2,11.000,-1.370,0.000,9.630,0.000,9.630,4.000,5.630
Moomochi 3D Belly Mousepad (PRE-ORDER),KafeKafei,Belly Mousepad,5,250.000,0.000,0.000,250.000,0.000,250.000,100.000,150.000
Ash Grab Sticker,mofuuwafuwa,Sticker,2,10.530,0.000,0.000,10.530,0.000,10.530,3.000,7.530
Anise Hangin' Out Print,KappAllNight,print,2,30.000,0.000,0.000,30.000,0.000,30.000,5.000,25.000
Call Me Print,Velvet Bambi,print,3,54.000,0.000,0.000,54.000,0.000,54.000,9.000,45.000
Stellar Cafe Sticker,Skullgeist,Sticker,1,7.000,0.000,0.000,7.000,0.000,7.000,0.000,0.000
Mitsuri Sticker 3'',Bluuey,Sticker,2,10.000,-1.250,0.000,8.750,0.000,8.750,3.000,5.750
Thick Kim Print,SuperSpoe,Print,2,33.560,-0.780,0.000,32.780,0.000,32.780,5.500,27.280
BabyPink Shibari Sticker,Revesaulait,Sticker,2,10.000,-1.250,0.000,8.750,0.000,8.750,4.000,4.750
Gettin' Ready Brie Standee,Vetarix,Standee,3,75.000,0.000,0.000,75.000,0.000,75.000,0.000,0.000
Pinky Chibi Sticker,matemi,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Shie Sticker 3.5'',matemi,Sticker,1,5.160,0.000,0.000,5.160,0.000,5.160,1.500,3.660
