product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Pomatomaster Sticker Sheet,Monoyoki (Collab) Pomatomaster,Original,Sticker,1,9.000,0.000,0.000,9.000,0.540,9.540,0.29,1.5,7.75
Pomato Mission Tee (Grayscale),Pomatomaster (Commercial),Original,,2,60.000,0.000,0.000,60.000,0.000,60.000,1.8,30.38,27.820000000000004
Pomatomaster Standee,Shinku (Collab) Pomatomaster,Original,Standee,2,36.000,0.000,0.000,36.000,1.080,37.080,1.11,16.0,19.97
Hunii Daki Cover 2.0,Pomme (Collab) Hunibun,Original,dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,2.1,20.0,47.89
Arky Daki Cover,Kekkitoz (Collab) Arky,Original,,1,69.990,0.000,0.000,69.990,0.000,69.990,2.1,20.0,47.89
Pomatomaster Charm,Veune (Collab) Pomatomaster,Original,Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,3.5,8.14
Cyana Gacha Sticker,P.M. Seymour (Original),Original,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,1.5,3.3499999999999996
"""Be Yourself"" Lil Sui Sticker",suikaart (original),Original,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,1.5,3.3499999999999996
Lina Standee,CutiexCoffin (Commercial),Original,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,0.54,9.0,8.46
Digi Stickers,Digi (Commercial),Original,Sticker Bundle,1,9.000,0.000,0.000,9.000,0.000,9.000,0.27,3.0,5.73
Pomatomaster Sticker,Veune (Collab) Pomatomaster,Original,Sticker,1,5.000,0.000,0.000,5.000,0.300,5.300,0.16,1.5,3.6399999999999997
Eat Cheese and Sin Tee,BobberWCC (Original),Original,,1,32.000,0.000,0.000,32.000,0.000,32.000,0.96,13.99,17.049999999999997
Cherry on Top Sticker,suikaart (Original),Original,,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,2.2,2.6499999999999995
Digi Model Standee,Digi (Commercial),Original,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,0.54,9.0,8.46
Maple Chicken Body Pillow,Beanni (Collab) Maple Chicken,Original,dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,2.1,20.0,47.89
Kaiyo 3D Mousepad,Kaiyo (Commercial),Original,3D Mousepad,1,30.000,0.000,0.000,30.000,0.000,30.000,0.9,15.0,14.100000000000001
Digi Charms,Digi (Commercial),Original,Acrylic Charm,1,22.000,0.000,0.000,22.000,0.000,22.000,0.66,7.0,14.34
Eat Cheese and Sin Sticker,BobberWCC (Original),Original,Sticker,3,15.000,0.000,0.000,15.000,0.000,15.000,0.45,4.5,10.05
Umbre Daki Cover,MythicDuo (Commercial),Original,dakimakura cover,1,69.990,0.000,0.000,69.990,0.000,69.990,2.1,20.0,47.89
Kaiyo Standee,BluMoon (Collab) Kaiyo,Original,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,0.54,8.0,9.46
