product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Lucien 3D Mousepad,Xenvita (collab),3D Mousepad,1,30.950,0.000,0.000,30.950,0.000,30.950,16.500,14.450
Savehymn Charm,Monoyoki (Collab),Acrylic Charm,18,220.890,-3.000,0.000,217.890,0.000,217.890,54.000,163.890
Joei T-Shirt,Joei (Commercial),T-Shirt,4,112.000,0.000,0.000,112.000,0.000,112.000,55.960,56.040
Mei Summer Dangle Charm,Meimei (Original),Acrylic Charm,1,15.000,0.000,0.000,15.000,0.000,15.000,9.000,6.000
Joei Standee,Joei (Commercial),Standee,4,72.000,0.000,0.000,72.000,0.000,72.000,32.000,40.000
Nahoko Standee,NahokoVeta (Commercial),Standee,6,113.460,-28.360,0.000,85.100,0.000,85.100,51.000,34.100
Nasu Deskmat,Bermuda (Collab),Deskmat,1,32.000,0.000,0.000,32.000,0.000,32.000,18.950,13.050
Lucien Standee,Dormir (Collab),Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,9.000,9.000
Rat Mat Rat Hat,BobberWCC (Original),,1,28.000,0.000,0.000,28.000,0.000,28.000,18.900,9.100
Mei Summer Standee,Meimei (Original),Standee,2,36.000,0.000,0.000,36.000,0.000,36.000,18.000,18.000
Lina Standee,Angelina Kumalo (Commercial),Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,9.000,9.000
Kaiyo Keychain,zamBee,Acrylic Charm,1,12.500,0.000,0.000,12.500,0.000,12.500,3.500,9.000
Yuchi Tee,YuchiVT (Commercial),T-Shirt,1,33.150,0.000,0.000,33.150,0.000,33.150,21.990,11.160
Zion Richard Charm,Zion (Commercial),Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,3.000,9.000
Valentine Sticker,Finni (Collab),Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.000,4.000
Kaiyo Summer Sticker Sheet,Kaiyo (Commercial),Sticker Sheet,1,12.000,0.000,0.000,12.000,0.000,12.000,2.000,10.000
Crack Pack Stickers,BobberWCC,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Eat Cheese and Sin Tee,BobberWCC (Original),,2,64.000,0.000,0.000,64.000,0.000,64.000,29.980,34.020
Kirana Sticker,zamBee (Collab),Sticker,2,10.000,0.000,0.000,10.000,0.000,10.000,3.000,7.000
Lina Polaroid Keychain,suikaart (Collab),Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,4.000,8.000
Begging Sticker,Veune- Original,,1,5.000,0.000,0.000,5.000,0.000,5.000,2.400,2.600
Kaiyo Sticker,zamBee,Sticker,1,5.450,0.000,0.000,5.450,0.000,5.450,1.500,3.950
Yuyu Low-Poly Sticker,Yume Kuzukawa (Commercial),Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,1.500,3.500
Boop Suit Sticker,Yorunomachi,,1,4.500,0.000,0.000,4.500,0.000,4.500,2.600,1.900
Eat Cheese and Sin Sticker,BobberWCC (Original),Sticker,6,30.000,0.000,0.000,30.000,0.000,30.000,9.000,21.000
Joei Charm,Joei (Commercial),Acrylic Charm,5,60.000,0.000,0.000,60.000,0.000,60.000,15.000,45.000
Kirana Charm,Vella (Collab),Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,3.000,9.000
Savehymn T-shirt,Natas (Collab),T-Shirt,12,389.020,-8.000,0.000,381.020,0.000,381.020,227.280,153.740
Smol Chibi Charms,Near (Collab),Acrylic Charm,2,33.040,0.000,0.000,33.040,1.200,34.240,9.000,24.040
Kaiyo 3D Mousepad,Kaiyo (Commercial),3D Mousepad,3,90.660,0.000,0.000,90.660,0.000,90.660,45.000,45.660
PapaMug,PapaMutt (Commercial),Mug,1,16.000,0.000,0.000,16.000,0.000,16.000,8.950,7.050
Bunny PomHae Sticker,Yorunomachi,,1,5.500,0.000,0.000,5.500,0.000,5.500,2.400,3.100
Mei Summer Polaroid,Meimei (Original),Print,1,7.000,0.000,0.000,7.000,0.000,7.000,1.500,5.500
