product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Lucien 3D Mousepad,Xenvita (collab),Collab,3D Mousepad,1,30.950,0.000,0.000,30.950,0.000,30.950,0.93,16.5,13.52
Savehymn Charm,Monoyoki (Collab),,Acrylic Charm,18,220.890,-3.000,0.000,217.890,0.000,217.890,6.54,54.0,157.35
Joei T-Shirt,Joei (Commercial),Commercial,T-Shirt,4,112.000,0.000,0.000,112.000,0.000,112.000,3.36,55.96,52.68
Mei Summer Dangle Charm,Meimei (Original),Original,Acrylic Charm,1,15.000,0.000,0.000,15.000,0.000,15.000,0.45,9.0,5.550000000000001
Joei Standee,Joei (Commercial),Commercial,Standee,4,72.000,0.000,0.000,72.000,0.000,72.000,2.16,32.0,37.84
Nahoko Standee,NahokoVeta (Commercial),Commercial,Standee,6,113.460,-28.360,0.000,85.100,0.000,85.100,2.55,51.0,31.549999999999997
Nasu Deskmat,Bermuda (Collab),Collab,Deskmat,1,32.000,0.000,0.000,32.000,0.000,32.000,0.96,18.95,12.09
Lucien Standee,Dormir (Collab),Collab,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,0.54,9.0,8.46
Rat Mat Rat Hat,BobberWCC (Original),Original,,1,28.000,0.000,0.000,28.000,0.000,28.000,0.84,18.9,8.260000000000002
Mei Summer Standee,Meimei (Original),Original,Standee,2,36.000,0.000,0.000,36.000,0.000,36.000,1.08,18.0,16.92
Lina Standee,Angelina Kumalo (Commercial),Commercial,Standee,1,18.000,0.000,0.000,18.000,0.000,18.000,0.54,9.0,8.46
Kaiyo Keychain,zamBee,Collab,Acrylic Charm,1,12.500,0.000,0.000,12.500,0.000,12.500,0.38,3.5,8.62
Yuchi Tee,YuchiVT (Commercial),Commercial,T-Shirt,1,33.150,0.000,0.000,33.150,0.000,33.150,0.99,21.99,10.169999999999998
Zion Richard Charm,Zion (Commercial),Commercial,Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,3.0,8.64
Valentine Sticker,Finni (Collab),Original,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,1.0,3.8499999999999996
Kaiyo Summer Sticker Sheet,Kaiyo (Commercial),Commercial,Sticker Sheet,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,2.0,9.64
Crack Pack Stickers,BobberWCC,,Sticker,1,5.000,0.000,0.000,5.000,0.000,5.000,0.15,1.5,3.3499999999999996
Eat Cheese and Sin Tee,BobberWCC (Original),Original,,2,64.000,0.000,0.000,64.000,0.000,64.000,1.92,29.98,32.099999999999994
Kirana Sticker,zamBee (Collab),Collab,Sticker,2,10.000,0.000,0.000,10.000,0.000,10.000,0.3,3.0,6.699999999999999
Lina Polaroid Keychain,suikaart (Collab),Collab,Acrylic Charm,1,12.000,0.000,0.000,12.000,0.000,12.000,0.36,4.0,7.640000000000001
