product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Butt Lovers Sticker 4,WaifuDekai,Original,Sticker,4,25.52,-1.25,-5.52,18.75,0,18.75,0.56,6,12.19
Mizuki Print,JujuNaught,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
Drink Kappa Kola Advertisement,KappAllNight,Original,Print,2,30.56,-0.78,0,29.78,0,29.78,0.89,5,23.89
Universal Emily Sticker,SakanaNoTenshi,Original,Standee,1,5,0,0,5,0,5,0.15,1.5,3.35
Laura Eat Up Sticker,Joekie3wl,Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Berry Blossoms Deskmat,Beanni,Collab,,1,45,0,0,45,0,45,1.35,18.95,24.7
Airing out the Gals,SuperSpoe,Original,Print,1,18.52,-0.93,0,17.59,0,17.59,0.53,3,14.06
Booba Tea Sticker,Gobbocks,Original,Sticker,12,60,-3,0,57,0,57,1.71,21,34.29
Big n' Soft Brie Standee,Vetarix,Original,Standee,1,25,0,0,25,0,25,0.75,10,14.25
Corpulent Corporate Leadership Print,SweetDreamCoffee,Original,Print,2,30.56,-0.78,0,29.78,0,29.78,0.89,5,23.89
Jerma Charm,Mei,Original,charm,1,12,0,0,12,0,12,0.36,3,8.64
Fullgirls- Futakuchi Sticker Set,Plumpcognito,Original,Sticker,9,120,-12.5,0,107.5,0,107.5,3.23,43.5,60.77
Frieren Sticker 3.5,matemi,Original,Sticker,4,20.34,-2.5,0,17.84,0,17.84,0.54,6,11.3
Wide Load Bumper Stickers,KappAllNight,Original,Bumper Sticker,4,60,0,0,60,0,60,1.8,16,42.2
Beach Bod (feat. Ms. Cheese),Takamoom,Original,,2,41.17,0,0,41.17,0,41.17,1.24,6,33.93
JuJu Standee Collection,JujuNaught,Original,Standee,2,50,0,0,50,0,50,1.5,22,26.5
Cow Cloe Sticker,CrysNickel,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1,2.64
Let's Go Swimming!,Takamoom,Original,Poster,1,20,0,0,20,0,20,0.6,3,16.4
Sunset Fat Genie,TDookus,Original,Print,2,30.56,-0.78,0,29.78,0,29.78,0.89,5,23.89
Yeet Classic Sticker Sheet,TheJieb,Original,Sticker Sheet,4,36,0,0,36,0,36,1.08,10,24.92
Alex Gina Sticker,SweetDreamCoffee,Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Playboy Nicole 8x10 Print,Vetarix,Original,Print,2,30,0,0,30,0,30,0.9,5,24.1
Nat and Halie Stylized Print,Better With Salt,Original,Print,3,48,0,0,48,0,48,1.44,8.5,38.06
Cowlach Sticker,Bluuey,Original,Sticker,2,10,-1.25,0,8.75,0,8.75,0.26,3,5.49
Yeet Summer Sticker Sheets,TheJieb,Original,Sticker Sheet,3,46.06,0,0,46.06,0,46.06,1.38,13.5,31.18
Doughy Pizza Girl Print,SweetDreamCoffee,Original,Poster,-1,0,0,-15,-15,0,-15,-0.45,-2.5,-12.05
Bermuda Muda Bellypad,Bermuda_Muda,Original,Belly Mousepad,28,1403.59,-2.54,0,1401.05,0,1401.05,42.03,560,799.02
Witch Poste Halloween Pinup Sticker,CriKai,Original,Sticker,2,12,0,0,12,0,12,0.36,4,7.64
Poors Sticker Pack 1,Poors.,Original,Sticker Sheet,4,34,-3,0,31,0,31,0.93,12,18.07
Nitro Chiral Boys- Kitten Caboodle Charms,Ransome Rex,Original,Charm,1,12,0,0,12,0,12,0.36,3,8.64
Voraisha Late Night Print,TheHelmetGuy,Collab,Print,1,31,0,0,31,0,31,0.93,10,20.07
Witch Poste Halloween 2024 Print,CriKai,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
PRE-ORDER Barbatos Dakimakura,matemi,Original,Daki Cover,62,4355.71,-17.47,0,4338.24,8.38,4346.62,130.4,1240,2976.22
Moomochi Standee,Fapolantern,Collab,Standee,9,163.45,-0.93,0,162.52,1.08,163.6,4.91,81,77.69
Lifelinelemons Candy Girls 3' Charms,Lifelinelemons,Original,Charm,6,72,-9,0,63,0,63,1.89,18,43.11
Faeona's Break [PRE-ORDER],YummyGoods,Original,Standee,1,25.93,-1.3,0,24.63,0,24.63,0.74,10,13.89
Farm Fresh Pint Glass,KappAllNight,Original,Glassware,3,66,0,0,66,0,66,1.98,40.5,23.52
Funky Beach Print,Lifelinelemons,Original,,1,15,0,0,15,0,15,0.45,2.5,12.05
Jowls Print,Better With Salt,Original,Print,1,15,0,0,15,0,15,0.45,2.5,12.05
Persephone's Special Menu,YummyGoods,Original,Charm,4,60,-15,0,45,0,45,1.35,12,31.65
Kaine Sticker,BambooAle,Original,Sticker,6,35,-5,-5,25,0,25,0.75,9,15.25
Lucy's Lingere,Vetarix,Original,Charm,1,12,0,0,12,0,12,0.36,3,8.64
Io Bath Print,ancestralpotato,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
Ask4My Sticker,Gaikiken,Original,,1,3.5,0,0,3.5,0,3.5,0.1,1,2.4
Vampire Christi PlayBee Halloween 2024 Print,CriKai,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
Gaz Acantha Standee,Suika's Sweets,Collab,Standee,1,20,0,0,20,0,20,0.6,9,10.4
Pudgy Purin Sticker [PURINTOBER CHARITY],Beanni,Original,Sticker,3,17,0,0,17,0,17,0.51,5.5,10.99
Candy Balloon Linda,Lifelinelemons,Original,Sticker,2,14.86,-2.23,0,12.63,0,12.63,0.38,6,6.25
Berry Wank Hank,Fapolantern,Original,Home Decor,2,30,0,0,30,0.9,30.9,0.93,14.18,15.79
Lyney Sticker 3.5,matemi,Original,Sticker,7,36.19,0,0,36.19,0,36.19,1.09,10.5,24.6
Io Egg Sticker 2.5,ancestralpotato,Original,Sticker,1,3.5,0,0,3.5,0,3.5,0.1,1,2.4
Farm Fresh Tee,KappAllNight,Original,T-Shirt,1,32,0,0,32,0,32,0.96,25.94,5.1
Faeona's Break Standee [PRE-ORDER],YummyGoods,Original,Standee,13,325.77,0,0,325.77,1.5,327.27,9.82,130,187.45
Miffu Bust Sticker,JujuNaught,Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Liz Standee,Skullgeist,Original,Standee,3,75.78,0,0,75.78,0,75.78,2.27,30,43.51
Stellar Cafe Print,Skullgeist,Original,Print,1,20,0,0,20,0,20,0.6,3.5,15.9
Kerfus (2) 4' Sticker,WaifuDekai,Original,Sticker,2,11,-2.74,0,8.26,0,8.26,0.25,3.4,4.61
Baby/Lady Pink 3-D Mousepads,BabyPink (Commercial),Commercial,3D Mousepad,1,35,0,0,35,0,35,1.05,15,18.95
Miss Maki Standee,Softon,Original,Standee,22,552.48,-6.25,0,546.23,1.5,547.73,16.43,220,311.3
Pumpkin Letta Halloween Pinup Sticker,CriKai,Original,Sticker,2,12,0,0,12,0,12,0.36,4,7.64
Jolly Emily Standee,SakanaNoTenshi,Original,Standee,1,25,0,0,25,0,25,0.75,10,14.25
Fat Girl Fall Purin 11x17 Print [PURINTOBER CHARITY],WaifuDekai,Original,Print,2,41.17,0,0,41.17,0,41.17,1.24,7,32.93
BabyPink Pinup Sticker,SwoleFin,Collab,Sticker,2,11,-1.37,0,9.63,0,9.63,0.29,4,5.34
Moomochi 3D Belly Mousepad (PRE-ORDER),KafeKafei,Original,Belly Mousepad,5,250,0,0,250,0,250,7.5,100,142.5
Ash Grab Sticker,mofuuwafuwa,Original,Sticker,2,10.53,0,0,10.53,0,10.53,0.32,3,7.21
Anise Hangin' Out Print,KappAllNight,Original,print,2,30,0,0,30,0,30,0.9,5,24.1
Call Me Print,Velvet Bambi,Original,print,3,54,0,0,54,0,54,1.62,9,43.38
Stellar Cafe Sticker,Skullgeist,Original,Sticker,1,7,0,0,7,0,7,0.21,1.5,5.29
Mitsuri Sticker 3,Bluuey,Original,Sticker,2,10,-1.25,0,8.75,0,8.75,0.26,3,5.49
Thick Kim Print,SuperSpoe,Original,Print,2,33.56,-0.78,0,32.78,0,32.78,0.98,5.5,26.3
BabyPink Shibari Sticker,Revesaulait,Collab,Sticker,2,10,-1.25,0,8.75,0,8.75,0.26,4,4.49
Gettin' Ready Brie Standee,Vetarix,Original,Standee,3,75,0,0,75,0,75,2.25,30,42.75
Pinky Chibi Sticker,matemi,Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Shie Sticker 3.5,matemi,Original,Sticker,1,5.16,0,0,5.16,0,5.16,0.15,1.5,3.51
Texan Waitress Print,Joekie3wl,Original,print,1,20,0,0,20,0,20,0.6,3.5,15.9
Io Oppai 3D Mousepad,ancestralpotato,Original,3D Mousepad,6,210,0,0,210,0,210,6.3,90,113.7
Fridge Raid,Mistko,Original,,1,20,0,0,20,1.2,21.2,0.64,3,17.56
Luocha Print,matemi,Original,Print,1,18,0,0,18,0,18,0.54,4.5,12.96
Poors Sticker Pack 2,Poors.,Original,Sticker Sheet,2,24,-3,0,21,0,21,0.63,9,11.37
Kaiyo Daki Cover,Kaiyo (Commercial),Commercial,Daki Cover,1,69.99,0,0,69.99,0,69.99,2.1,20,47.89
CocaCoca Original Poster,JujuNaught,Original,Print,2,43,0,0,43,0,43,1.29,8.5,33.21
100% Beef Sticker,Bluuey,Original,Sticker,3,15,-2.5,0,12.5,0,12.5,0.38,4.5,7.62
Stuck Standee,Velvet Bambi,Original,Standee,6,150.44,0,0,150.44,0,150.44,4.51,60,85.93
Yeet Summer Prints,TheJieb,Original,Print,1,34,0,0,34,0,34,1.02,7,25.98
Astolfo Sticker 3.5,matemi,Original,Sticker,8,40.84,0,0,40.84,0,40.84,1.23,12,27.61
Shie and Skia Print,matemi,Original,Print,2,46.01,0,0,46.01,0,46.01,1.38,8,36.63
Kerfus Standees,WaifuDekai,Original,Standee,6,210,0,0,210,2.7,212.7,6.38,72,134.32
This Cannot Be F*cking Real Inflation Sequence Sticker,Velvet Bambi,Original,Sticker,5,61.13,0,0,61.13,0,61.13,1.83,22.5,36.8
Anise Booba Tea Sticker,KappAllNight,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Molly Sticker,Angstrom,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Lady Sticker,BambooAle,Original,Sticker,5,25,-2.5,0,22.5,0,22.5,0.67,7.5,14.33
BabyPink Charm,Revesaulait,Collab,Charm,1,15,0,0,15,0,15,0.45,4,10.55
Loona Sticker 2,moiyablochki,Original,Sticker,4,20,-1.25,0,18.75,0,18.75,0.56,6,12.19
Costa Del Fat,Mistko,Original,,1,20,0,0,20,1.2,21.2,0.64,3,17.56
Candy Balloon Patchouli,Lifelinelemons,Original,Sticker,1,7.45,-1.86,0,5.59,0,5.59,0.17,3,2.42
The Incident Standee,Nyanilla,Original,Standee,1,18,0,0,18,0,18,0.54,10,7.46
Pumpkin Letta Halloween 2024 Print,CriKai,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
Yeetbun Print 12x12,TheJieb,Original,Print,1,15,0,0,15,0,15,0.45,3,11.55
Fat Gamer Girl Sticker,Joekie3wl,Original,,3,15,0,0,15,0,15,0.45,1.5,13.05
Orpheus Print,Radium225,Original,,1,15,0,0,15,0,15,0.45,2.5,12.05
Del Avry Bikini Pinup Sticker,CriKai,Original,Sticker,2,12,0,0,12,0,12,0.36,1.5,10.14
"Kerfus (1) 3"" Sticker",WaifuDekai,Original,Sticker,1,5,-1.25,0,3.75,0,3.75,0.11,1.5,2.14
Miffu Tiger Sticker,JujuNaught,Original,Sticker,4,20,-1.25,0,18.75,0,18.75,0.56,6,12.19
Orbitz Intergalactic Cafe Print,Marauder6272,Original,Print,1,25,0,0,25,0,25,0.75,5,19.25
GamerAid Girls Stickers,SuperSpoe,Original,Sticker,3,15,0,0,15,0,15,0.45,4.5,10.05
Orbitz Cafe Mug,Marauder6272,Original,Mug,3,48,0,0,48,0,48,1.44,23.85,22.71
BAE-B Under the Covers Print (11x17),StixDraws,Original,print,1,18.75,0,0,18.75,0,18.75,0.56,3.5,14.69
Pinky Booty Sticker,matemi,Original,Sticker,1,5,0,0,5,0,5,0.15,2,2.85
Michiru Sticker 3.5,matemi,Original,Sticker,5,25,-1.25,0,23.75,0,23.75,0.71,7.5,15.54
Satsuki Print,JujuNaught,Original,Print,1,25,0,0,25,0,25,0.75,2.5,21.75
For the Goddess Sticker Pack,HellBrains,Original,Sticker Sheet,2,40,-5,0,35,0,35,1.05,12,21.95
Blimp Miri Sticker,Nyanilla,Original,Sticker,2,10,0,0,10,0,10,0.3,3,6.7
Combo Meal 3x3 Sticker Pack,BurgerKurger,Original,Sticker,7,75.51,-2.62,0,72.89,0,72.89,2.19,22.5,48.2
Wendie's Print,JujuNaught,Original,Print,1,18,0,0,18,0,18,0.54,3,14.46
A Big Fat Slice of Life: Sticky Treats Set,Better With Salt,Original,Sticker Sheet,2,37.5,0,-11.25,26.25,0,26.25,0.79,7,18.46
Candy Balloon Gertrude,Lifelinelemons,Original,Sticker,1,7.45,-1.86,0,5.59,0,5.59,0.17,3,2.42
Voraisha Deskmat,KafeKafei,Collab,Deskmat,1,35.95,0,0,35.95,0,35.95,1.08,18.95,15.92
Emily Cup - Ready to Order,SakanaNoTenshi,Original,Water Bottle,2,40,0,0,40,0,40,1.2,19.9,18.9
Goths of Fodlan Sticker Collection,Bluuey,Original,Sticker,1,25,-6.25,0,18.75,0,18.75,0.56,9,9.19
Uya Dairy Free Sticker,Klebo,Original,Sticker,1,8,0,0,8,0,8,0.24,1,6.76
Iconic Plant Girl (Standee),Skullgeist,Original,Standee,6,150.78,-5,0,145.78,0,145.78,4.37,60,81.41
