product_title,product_name,dist_type,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,process_fee,total_cost,gross_profit
Lucien 3D Mousepad,Xenvita (collab),Collab,3D Mousepad,1,30.95,0,0,30.95,0,30.95,0.93,16.5,13.52
Savehymn Charm,Monoyoki (Collab),,Acrylic Charm,18,220.89,-3,0,217.89,0,217.89,6.54,54,157.35
Joei T-Shirt,Joei (Commercial),Commercial,T-Shirt,4,112,0,0,112,0,112,3.36,55.96,52.68
Mei Summer Dangle Charm,Meimei (Original),Original,Acrylic Charm,1,15,0,0,15,0,15,0.45,9,5.55
Joei Standee,Joei (Commercial),Commercial,Standee,4,72,0,0,72,0,72,2.16,32,37.84
Nahoko Standee,NahokoVeta (Commercial),Commercial,Standee,6,113.46,-28.36,0,85.1,0,85.1,2.55,51,31.55
Nasu Deskmat,Bermuda (Collab),Collab,Deskmat,1,32,0,0,32,0,32,0.96,18.95,12.09
Lucien Standee,Dormir (Collab),Collab,Standee,1,18,0,0,18,0,18,0.54,9,8.46
Rat Mat Rat Hat,BobberWCC (Original),Original,,1,28,0,0,28,0,28,0.84,18.9,8.26
Mei Summer Standee,Meimei (Original),Original,Standee,2,36,0,0,36,0,36,1.08,18,16.92
Lina Standee,Angelina Kumalo (Commercial),Commercial,Standee,1,18,0,0,18,0,18,0.54,9,8.46
Kaiyo Keychain,zamBee,Collab,Acrylic Charm,1,12.5,0,0,12.5,0,12.5,0.38,3.5,8.62
Yuchi Tee,YuchiVT (Commercial),Commercial,T-Shirt,1,33.15,0,0,33.15,0,33.15,0.99,21.99,10.17
Zion Richard Charm,Zion (Commercial),Commercial,Acrylic Charm,1,12,0,0,12,0,12,0.36,3,8.64
Valentine Sticker,Finni (Collab),Original,Sticker,1,5,0,0,5,0,5,0.15,1,3.85
Kaiyo Summer Sticker Sheet,Kaiyo (Commercial),Commercial,Sticker Sheet,1,12,0,0,12,0,12,0.36,2,9.64
Crack Pack Stickers,BobberWCC,,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Eat Cheese and Sin Tee,BobberWCC (Original),Original,,2,64,0,0,64,0,64,1.92,29.98,32.1
Kirana Sticker,zamBee (Collab),Collab,Sticker,2,10,0,0,10,0,10,0.3,3,6.7
Lina Polaroid Keychain,suikaart (Collab),Collab,Acrylic Charm,1,12,0,0,12,0,12,0.36,4,7.64
Begging Sticker,Veune (Original),,,1,5,0,0,5,0,5,0.15,2.4,2.45
Kaiyo Sticker,zamBee,Collab,Sticker,1,5.45,0,0,5.45,0,5.45,0.16,1.5,3.79
Yuyu Low-Poly Sticker,Yume Kuzukawa (Commercial),Commercial,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Boop Suit Sticker,Yorunomachi,,,1,4.5,0,0,4.5,0,4.5,0.14,2.6,1.76
Eat Cheese and Sin Sticker,BobberWCC (Original),Original,Sticker,6,30,0,0,30,0,30,0.9,9,20.1
Joei Charm,Joei (Commercial),Commercial,Acrylic Charm,5,60,0,0,60,0,60,1.8,15,43.2
Kirana Charm,Vella (Collab),Collab,Acrylic Charm,1,12,0,0,12,0,12,0.36,3,8.64
Savehymn T-shirt,Natas (Collab),,T-Shirt,12,389.02,-8,0,381.02,0,381.02,11.43,227.28,142.31
Smol Chibi Charms,Near (Collab),Collab,Acrylic Charm,2,33.04,0,0,33.04,1.2,34.24,1.03,9,24.21
Kaiyo 3D Mousepad,Kaiyo (Commercial),Commercial,3D Mousepad,3,90.66,0,0,90.66,0,90.66,2.72,45,42.94
PapaMug,PapaMutt (Commercial),Commercial,Mug,1,16,0,0,16,0,16,0.48,8.95,6.57
Bunny PomHae Sticker,Yorunomachi,,,1,5.5,0,0,5.5,0,5.5,0.16,2.4,2.94
Mei Summer Polaroid,Meimei (Original),Original,Print,1,7,0,0,7,0,7,0.21,1.5,5.29
Nasu Standee,Kekkitoz (Collab),Collab,Standee,1,18,0,0,18,0,18,0.54,8.5,8.96
Lulu Deskmat,Bermuda (Collab),Collab,,1,43.06,0,0,43.06,0,43.06,1.29,18.95,22.82
Nahoko Charm,NahokoVeta (Commercial),Commercial,Acrylic Charm,2,25.66,-6.41,0,19.25,0,19.25,0.58,6,12.67
*OFFKAI OVERSTOCK!* Limited Signed Collab Posters!,Yorunomachi,Original,Print,1,18,0,0,18,0,18,0.54,4,13.46
Yuyu Tee,Yume Kuzukawa (Commercial),Commercial,T-Shirt,1,33.57,0,0,33.57,0,33.57,1.01,13.99,18.57
Valentine Charm,Finni,Collab,Acrylic Charm,1,12,0,0,12,0,12,0.36,3,8.64
Kaiyo Standee,BluMoon,Collab,Standee,1,18.4,0,0,18.4,0,18.4,0.55,8,9.85
Digi Kneeling Standee,Digi (Commercial),Commercial,Standee,1,18,0,0,18,0,18,0.54,9,8.46
Zion Sticker,Zion (Commercial),Commercial,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Digi Deskmat,Digi (Commercial),Commercial,Deskmat,2,72.91,0,0,72.91,0,72.91,2.19,37.9,32.82
Kirana Standee,Monoyoki (Collab),Collab,Standee,2,36,0,0,36,0,36,1.08,17,17.92
Yuyu Standee,Bermuda,Collab,Standee,1,18,0,0,18,0,18,0.54,8,9.46
Kaiyo Photocards,Dormir,Collab,Photocard,2,20.22,0,0,20.22,0,20.22,0.61,3,16.61
Summer Bnuuy Sticker,Meimei (Original),Original,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
Lucien Logo Tee,Yorunomachi,,,2,73,0,0,73,2.16,75.16,2.25,44.86,28.05
Joei Heart Buttons,Joei (Commercial),Commercial,Button Pin,6,27,0,0,27,0,27,0.81,6.9,19.29
Savehymn Acrylic Standee,Bermuda (Collab),,Standee,14,254.58,-4.5,0,250.08,0,250.08,7.5,126,116.58
Zion Standee,Moxie,,Standee,1,18,0,0,18,0,18,0.54,8,9.46
Yuyu Low-Poly Charm,Yume Kuzukawa (Commercial),Commercial,Acrylic Charm,2,24,0,0,24,0,24,0.72,7,16.28
Smol&Stronk Daki Cover,Near (Collab),Collab,dakimakura cover,1,69.99,0,0,69.99,0,69.99,2.1,12,55.89
Lina Office Print,Angelina Kumalo (Commercial),Commercial,Print,1,12,0,0,12,0,12,0.36,3,8.64
Joei Deskmat,Joei (Commercial),Commercial,Deskmat,5,160.66,0,0,160.66,0,160.66,4.82,94.75,61.09
Lucien Dakimakura Cover,Meimei (Collab),Collab,dakimakura cover,2,142.86,0,0,142.86,0,142.86,4.29,40,98.57
Joei Poster,Joei (Commercial),Commercial,Print,2,30.59,0,0,30.59,0,30.59,0.92,5,24.67
Nahoko Chibi Standee,Meimei (Collab),Collab,Standee,6,113.46,-28.36,0,85.1,0,85.1,2.55,51,31.55
Zion Mousepad,BotFishe (Collab),Collab,Mousepad,1,20,0,0,20,0,20,0.6,8.95,10.45
Podge's Mug,Yorunomachi,,,1,18,-4.5,0,13.5,0,13.5,0.4,9.95,3.15
Joei Chibi Stickers,Joei (Commercial),Commercial,Sticker,3,24,0,0,24,0,24,0.72,9,14.28
Carded! Sticker,Veune (Original),,Sticker,1,5,0,0,5,0,5,0.15,1.5,3.35
